Population code,Species,Reidentification,Reidentifier,Notes,Collector + number,Provider identifier,Locality,Country,State,County,Latitude,Longitude,GPS source,,# individuals,Verbatim latitude,Verbatim longitude,Provider acronym,,Qubit 1,Qubit 2,Qubit average,Qubit 1 (Cleaned),Qubit 2 (Cleaned) ,Qubit average (Cleaneed,Cleaned to 50𝜇l,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of TE to add,Library made,Note
E306-14,Heuchera alba,,,,USDA GRIN: Ames 34945,,"Smoke Hole Region: Powers Hollow. Located approximately 5.2 miles west of Petersburg on the east side of Powers Hollow Road, Grant County. ",,WV,Grant,39.0034,-79.2204,,,15 seed batch,39.0034,-79.2204,Sent directly,,1.72,1.65,1.685,,,,,80.88,Use whole sample,Vacuum centrifuge then add 25 uL,,
E306-15,Heuchera alba,,,,USDA GRIN: Ames 34945,,"Smoke Hole Region: Powers Hollow. Located approximately 5.2 miles west of Petersburg on the east side of Powers Hollow Road, Grant County. ",,WV,Grant,39.0034,-79.2204,,,15 seed batch,39.0034,-79.2204,Sent directly,,7.34,7.27,7.305,,,,,350.64,Use whole sample,Vacuum centrifuge then add 25 uL,,
E307,Symphyotrichum patens,,,,Folk s.n.,,"Sheep Ranch Trail, Tombigbee NF",,MS,,,,,,1,,,,,6.26,6.19,,,,,,,,,,
E308,Vernonia acaulis,,,,Leonard 1992,,,,SC,Clarendon,33.6653463,-80.2277002,County centroid,,,,,MEM,,1.54,2.69,2.115,,,,,260.145,Use whole sample,Vacuum centrifuge then add 25 uL,,
E309,Vernonia angustifolia,,,E309,Bozeman 11362,,"On Nat. Forest Rd. #204, .6 miles W of jct with N.F. Rd. # 214.",,SC,Berkeley,32.15692,-79.570898,SERNEC,,,32.15692,-79.570898,MEM,,20.4,29.1,24.75,,,,,3044.25,20.2020202,Vacuum centrifuge then add 25 uL,,
E310,Vernonia angustifolia,,,E310,Leonard 1984,,Junction of County Routes 28 and 172,,SC,Colleton,32.978303,-80.840944,SERNEC,,,32.978303,-80.840944,MEM,,7.47,11.3,9.385,,,,,1154.355,53.27650506,Vacuum centrifuge then add 25 uL,,
E311,Vernonia angustifolia,,,E311,Jackson 23,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,13.1,19,16.05,,,,,1974.15,31.15264798,Vacuum centrifuge then add 25 uL,,
E312,Vernonia arkansana,,,E312,Athey s.n.,,"Edge of parking lot in open woodsm Tropicana Motel, Joplin",,MO,Jasper,37.176515,-94.3103412,County centroid,,,,,MEM,,1.85,2.93,2.39,,,,,293.97,Use whole sample,Vacuum centrifuge then add 25 uL,,
E313,Vernonia arkansana,,,E313,Athey s.n.,,Gainesville. Roadsile 9 miles west on US 60.,,MO,Ozark,36.6467816,-92.4575198,County centroid,,,,,MEM,,1.13,1.9,1.515,,,,,186.345,Use whole sample,Vacuum centrifuge then add 25 uL,,
E314,Vernonia baldwinii,,,E314,Deneke s.n.,,,,AR,Benton,36.3456186,-94.2670404,County centroid,,,,,MEM,,5.69,7.91,6.8,,,,,836.4,73.52941176,Vacuum centrifuge then add 25 uL,,
E315,Vernonia gigantea,,,,Connelly 1,,,,IL,Christian,39.5212598,-89.2829783,County centroid,,,,,MEM,,4.81,4.79,4.8,,,,,590.4,104.1666667,Vacuum centrifuge then add 25 uL,,
E316,Vernonia gigantea,,,E316,Athey 4515,,,,KY,Carlisle,36.8432751,-88.9636817,County centroid,,,,,MEM,,3.84,5.71,4.775,,,,,587.325,104.7120419,Vacuum centrifuge then add 25 uL,,
E317,Vernonia gigantea,,,E317,Athey 4218,,,,KY,Christian,36.8778665,-87.5014545,County centroid,,,,,MEM,,7.29,10.6,8.945,,,,,1100.235,55.89714925,Vacuum centrifuge then add 25 uL,,
E318,Vernonia gigantea,,,E318,Athey 2924,,,,KY,Fulton,36.5577082,-89.102082,County centroid,,,,,MEM,,4.09,6.91,5.5,,,,,676.5,90.90909091,Vacuum centrifuge then add 25 uL,,
E319,Vernonia gigantea,,,E319,Gentry Jr. 522,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,11.3,16.9,14.1,,,,,1734.3,35.46099291,Vacuum centrifuge then add 25 uL,,
E320,Vernonia gigantea,,,E320,Athey 839,,,,KY,Livingston,37.1898627,-88.3343825,County centroid,,,,,MEM,,3.86,5.62,4.74,,,,,583.02,105.4852321,Vacuum centrifuge then add 25 uL,,
E321,Vernonia gigantea,,,E321,Athey 382,,,,KY,Lyon,36.9981232,-88.0658149,County centroid,,,,,MEM,,7.79,11.3,9.545,,,,,1174.035,52.38344683,Vacuum centrifuge then add 25 uL,,
E322,Vernonia gigantea,,,E322,Athey 1479,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,6.3,9.9,8.1,,,,,996.3,61.72839506,Vacuum centrifuge then add 25 uL,,
E323,Vernonia gigantea,,,E323,Browne 9140,,,,KY,Wolfe,37.7430509,-83.4868591,County centroid,,,,,MEM,,3.46,5.13,4.295,,,,,528.285,116.4144354,Vacuum centrifuge then add 25 uL,,
E324,Vernonia gigantea,,,E324,Ferrari 398,,,,MS,DeSoto,34.816722,-89.784592,SERNEC,,,34.816722,-89.784592,MEM,,7.05,10.3,8.675,,,,,1067.025,57.63688761,Vacuum centrifuge then add 25 uL,,
E325,Vernonia gigantea,,,E325,Thompson 175,,,,TN,Carroll,35.9631851,-88.4487987,County centroid,,,,,MEM,,4.4,7.45,5.925,,,,,728.775,84.38818565,Vacuum centrifuge then add 25 uL,,
E326,Vernonia gigantea,,,E326,Browne Jr. 76E1.16,,,,TN,Dyer,36.0543272,-89.4208221,County centroid,,,,,MEM,,6.45,9.47,7.96,,,,,979.08,62.81407035,Vacuum centrifuge then add 25 uL,,
E327,Vernonia gigantea,,,E327,Browne 77H5.4,,,,TN,Obion,36.3556031,-89.1748819,County centroid,,,,,MEM,,12.6,18.2,15.4,,,,,1894.2,32.46753247,Vacuum centrifuge then add 25 uL,,
E328,Vernonia gigantea,,,E328,Browne 70M2.26,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,9.33,12.9,11.115,,,,,1367.145,44.98425551,Vacuum centrifuge then add 25 uL,,
E329,Vernonia gigantea,,,E329,Warrington 291,,,,TN,Tipton,35.499348,-89.7487432,County centroid,,,,,MEM,,4.35,6.62,5.485,,,,,674.655,91.15770283,Vacuum centrifuge then add 25 uL,,
E330,Vernonia missurica,,,E330,Browne 69I2.5,,,,AR,Izard,36.0832532,-91.8894787,County centroid,,,,,MEM,,3.56,5.09,4.325,,,,,531.975,115.6069364,Vacuum centrifuge then add 25 uL,,
E331,Vernonia missurica,,,E331,Athey 2896,,,,KY,Calloway,36.6257937,-88.271076,County centroid,,,,,MEM,,11.5,15.1,13.3,,,,,1635.9,37.59398496,Vacuum centrifuge then add 25 uL,,
E332,Vernonia missurica,,,E332,Athey 822,,,,KY,Graves,36.7244966,-88.6569094,County centroid,,,,,MEM,,2.48,3.66,3.07,,,,,377.61,Use whole sample,Vacuum centrifuge then add 25 uL,,
E333,Vernonia missurica,,,E333,Athey 4196,,,,KY,Livingston,37.1898627,-88.3343825,County centroid,,,,,MEM,,18,23.7,20.85,,,,,2564.55,23.98081535,Vacuum centrifuge then add 25 uL,,
E334,Vernonia missurica,,,E334,Athey 4207,,,,KY,Lyon,36.9981232,-88.0658149,County centroid,,,,,MEM,,4.43,7,5.715,,,,,702.945,87.48906387,Vacuum centrifuge then add 25 uL,,
E335,Vernonia missurica,,,E335,Athey 2486,,,,KY,Marshall,36.8624306,-88.3264641,County centroid,,,,,MEM,,15.8,22.6,19.2,,,,,2361.6,26.04166667,Vacuum centrifuge then add 25 uL,,
E336,Vernonia missurica,,,E336,Athey 1457,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,36.7,53.1,44.9,,,,,5522.7,11.13585746,Vacuum centrifuge then add 25 uL,,
E337,Vernonia missurica,,,E337,Athey 1143,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,24.7,32.4,28.55,,,,,3511.65,17.51313485,Vacuum centrifuge then add 25 uL,,
E338,Symphyotrichum boreale,,,E338,Athey s.n.,,,,MN,,,,,,,,,MEM,,15.7,22.2,18.95,,,,,2330.85,26.38522427,Vacuum centrifuge then add 25 uL,,
E339,Symphyotrichum campestre,,,E339,Athey s.n.,,,,UT,Iron,37.8546136,-113.2867347,County centroid,,,,,MEM,,9.46,13,11.23,,,,,1381.29,44.52359751,Vacuum centrifuge then add 25 uL,,
E340,Symphyotrichum concolor,,,E340,Athey 4583,,,,KY,Calloway,36.6257937,-88.271076,County centroid,,,,,MEM,,11.6,16.9,14.25,,,,,1752.75,35.0877193,Vacuum centrifuge then add 25 uL,,
E341,Symphyotrichum concolor,,,E341,Bozeman 11555,,,,NC,Scotland,34.773603,-79.727973,SERNEC,,,34.773603,-79.727973,MEM,,6.95,10.5,8.725,,,,,1073.175,57.30659026,Vacuum centrifuge then add 25 uL,,
E342,Symphyotrichum cordifolium,,,E342,Carr s.n.,,,,KY,Bell,36.7370344,-83.6491695,County centroid,,,,,MEM,,4.24,4.02,4.13,,,,,507.99,121.0653753,Vacuum centrifuge then add 25 uL,,
E343,Symphyotrichum cordifolium,,,E343,Gentry Jr. 793,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,3.03,3.01,3.02,,,,,371.46,Use whole sample,Vacuum centrifuge then add 25 uL,,
E344,Symphyotrichum cordifolium,,,E344,Ahler 84856,,,,MA,Hampshire,42.339459,72.663694,County centroid,,,,,MEM,,2.68,2.61,2.645,,,,,325.335,Use whole sample,Vacuum centrifuge then add 25 uL,,
E345,Symphyotrichum cordifolium,,,E345,Ferrari 486,,,,MS,DeSoto,34.986007,-90.134877,SERNEC,,,34.986007,-90.134877,MEM,,24.2,23.5,23.85,,,,,2933.55,20.96436059,Vacuum centrifuge then add 25 uL,,
E346,Symphyotrichum cordifolium,,,E346,Athey s.n.,,,,NC,Swain,35.45819,-83.466275,County centroid,,,,,MEM,,6.45,6.48,6.465,,,,,795.195,77.33952049,Vacuum centrifuge then add 25 uL,,
E347,Symphyotrichum cordifolium,,,E347,Radford 45431,,,,NC,Watauga,36.246405,-81.711583,SERNEC,,,36.246405,-81.711583,MEM,,4.65,4.34,4.495,,,,,552.885,111.2347052,Vacuum centrifuge then add 25 uL,,
E348,Symphyotrichum cordifolium,,,E348,Thompson 617,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,6.03,6.1,6.065,,,,,745.995,82.44023083,Vacuum centrifuge then add 25 uL,,
E349,Symphyotrichum cordifolium,,,E349,Warrington 404,,,,TN,Tipton,35.499348,-89.7487432,County centroid,,,,,MEM,,5.82,5.62,5.72,,,,,703.56,87.41258741,Vacuum centrifuge then add 25 uL,,
E350,Symphyotrichum drummondii,,,E350,Athey 2151,,,,KY,Carlisle,36.8432751,-88.9636817,County centroid,,,,,MEM,,17.9,17.8,17.85,,,,,2195.55,28.01120448,Vacuum centrifuge then add 25 uL,,
E351,Symphyotrichum drummondii,,,E351,Athey 4303A,,,,KY,Crittenden,37.3600974,-88.0885106,County centroid,,,,,MEM,,7.8,7.73,7.765,,,,,955.095,64.39150032,Vacuum centrifuge then add 25 uL,,
E352,Symphyotrichum drummondii,,,E352,Athey 2177,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,30.3,43.2,36.75,,,,,4520.25,13.60544218,Vacuum centrifuge then add 25 uL,,
E353,Symphyotrichum drummondii,,,E353,Athey 3634,,,,KY,Todd,36.8098474,-87.1728185,County centroid,,,,,MEM,,13.6,13.4,13.5,,,,,1660.5,37.03703704,Vacuum centrifuge then add 25 uL,,
E354,Symphyotrichum drummondii var. texanum,,,E354,Demaree 57276,,,,AR,Montgomery,34.55676,-93.63408,SERNEC,,,34.55676,-93.63408,MEM,,13.4,12.4,12.9,,,,,1586.7,38.75968992,Vacuum centrifuge then add 25 uL,,
E355,Symphyotrichum drummondii var. texanum,,,E355,Athey 473,,,,KY,Lyon,36.9981232,-88.0658149,County centroid,,,,,MEM,,--,1.01,1.01,,,,,124.23,Use whole sample,Vacuum centrifuge then add 25 uL,,
E356,Symphyotrichum dumosum,,,E356,Bozeman 11612,,,,NC,Moore,35.3054614,-79.4761236,County centroid,,,,,MEM,,13.1,19.1,16.1,,,,,1980.3,31.05590062,Vacuum centrifuge then add 25 uL,,
E357,Symphyotrichum dumosum,,,E357,Ferrari 478,,,,MS,DeSoto,34.9077,-89.7531,SERNEC,,,34.9077,-89.7531,MEM,,37.9,53.1,45.5,,,,,5596.5,10.98901099,Vacuum centrifuge then add 25 uL,,
E358,Symphyotrichum dumosum,,,E358,Keiran 719,,,,TN,Lauderdale,35.7579793,-89.6175055,County centroid,,,,,MEM,,6.4,8.89,7.645,,,,,940.335,65.40222368,Vacuum centrifuge then add 25 uL,,
E359,Symphyotrichum dumosum,,,E359,Browne 77H5.1,,,,TN,Obion,36.3556031,-89.1748819,County centroid,,,,,MEM,,35,47.3,41.15,,,,,5061.45,12.15066829,Vacuum centrifuge then add 25 uL,,
E360,Symphyotrichum elliotii,,,E360,Bozeman 11561,,,,SC,Dorchester,33.055682,-80.8825,SERNEC,,,33.055682,-80.8825,MEM,,11.2,17.2,14.2,,,,,1746.6,35.21126761,Vacuum centrifuge then add 25 uL,,
E361,Symphyotrichum ericoides,,,E361,Athey 4485,,,,KY,Calloway,36.6257937,-88.271076,County centroid,,,,,MEM,,6.15,8.87,7.51,,,,,923.73,66.57789614,Vacuum centrifuge then add 25 uL,,
E362,Symphyotrichum ericoides,,,E362,Athey 4511,,,,KY,Carlisle,36.8432751,-88.9636817,County centroid,,,,,MEM,,5.3,8.85,7.075,,,,,870.225,70.67137809,Vacuum centrifuge then add 25 uL,,
E363,Symphyotrichum ericoides,,,E363,Ahler 81718,,,,MA,Hampshire,42.339459,72.663694,County centroid,,,,,MEM,,2.11,3.37,2.74,,,,,337.02,Use whole sample,Vacuum centrifuge then add 25 uL,,
E364,Symphyotrichum grandiflorum,,,E364,Radford 11633,,,,NC,Chatham,35.87026,-82.70889,SERNEC,,,35.87026,-82.70889,MEM,,24.2,34.8,29.5,,,,,3628.5,16.94915254,Vacuum centrifuge then add 25 uL,,
E365,Symphyotrichum laeve,,,E365,Athey 3911,,,,KY,Todd,36.8098474,-87.1728185,County centroid,,,,,MEM,,5.46,9.34,7.4,,,,,910.2,67.56756757,Vacuum centrifuge then add 25 uL,,
E366,Symphyotrichum laeve,,,E366,Ahler 70008,,,,NY,Columbia,42.2415027,-73.6723456,County centroid,,,,,MEM,,7.46,11.5,9.48,,,,,1166.04,52.74261603,Vacuum centrifuge then add 25 uL,,
E367,Symphyotrichum lanceolatum,,,E367,Thompson Jr. 1040,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,21,30,25.5,,,,,3136.5,19.60784314,Vacuum centrifuge then add 25 uL,,
E368,Symphyotrichum lanceolatum,,,E368,Ahles 81720,,,,MA,Hampshire,42.339459,-72.663694,County centroid,,,,,MEM,,12.7,17.8,15.25,,,,,1875.75,32.78688525,Vacuum centrifuge then add 25 uL,,
E369,Symphyotrichum lanceolatum,,,E369,Gentry Jr. 826,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,8.02,12.7,10.36,,,,,1274.28,48.26254826,Vacuum centrifuge then add 25 uL,,
E370,Symphyotrichum lanceolatum,,,E370,Warrington 405.7,,,,TN,Tipton,35.499348,-89.7487432,County centroid,,,,,MEM,,7.52,11.6,9.56,,,,,1175.88,52.30125523,Vacuum centrifuge then add 25 uL,,
E371,Symphyotrichum lanceolatum,,,E371,Browne T-71,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,2.16,31.6,16.88,,,,,2076.24,29.62085308,Vacuum centrifuge then add 25 uL,,
E372,Symphyotrichum lateriflorum,,,E372,Athey 457,,,,KY,Ballard,37.0231521,-88.9888619,County centroid,,,,,MEM,,2.18,3.32,2.75,,,,,338.25,Use whole sample,Vacuum centrifuge then add 25 uL,,
E373,Symphyotrichum lateriflorum,,,E373,Ahles 76173,,,,MA,Hampshire,42.392228,-72.667872,SERNEC,,,42.392228,-72.667872,MEM,,4.9,7.42,6.16,,,,,757.68,81.16883117,Vacuum centrifuge then add 25 uL,,
E374,Symphyotrichum lateriflorum,,,E374,Leonard 2201,,,,NC,Columbus,34.16778,-78.5975,SERNEC,,,34.16778,-78.5975,MEM,,10.7,15.9,13.3,,,,,1635.9,37.59398496,Vacuum centrifuge then add 25 uL,,
E375,Symphyotrichum novae-angliae,,,E375,Gentry Jr. 803,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,17.9,26.2,22.05,,,,,2712.15,22.67573696,Vacuum centrifuge then add 25 uL,,
E376,Symphyotrichum novae-angliae,,,E376,Athey s.n.,,,,IL,Grundy,41.2747363,-88.4119361,County centroid,,,,,MEM,,20.6,30.2,25.4,,,,,3124.2,19.68503937,Vacuum centrifuge then add 25 uL,,
E377,Symphyotrichum novae-angliae,,,E377,Browne 8143,,,,KY,Garrard,37.6360342,-84.5408428,County centroid,,,,,MEM,,17.7,25.6,21.65,,,,,2662.95,23.09468822,Vacuum centrifuge then add 25 uL,,
E378,Symphyotrichum novae-angliae,,,E378,Athey 2640,,,,KY,Graves,36.7244966,-88.6569094,County centroid,,,,,MEM,,7.85,11.5,9.675,,,,,1190.025,51.67958656,Vacuum centrifuge then add 25 uL,,
E379,Symphyotrichum novae-angliae,,,E379,Browne 8118,,,,KY,Madison,37.7298081,-84.2974735,County centroid,,,,,MEM,,15.2,22.5,18.85,,,,,2318.55,26.52519894,Vacuum centrifuge then add 25 uL,,
E380,Symphyotrichum novae-angliae,,,E380,Athey 1544,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,9.66,14.3,11.98,,,,,1473.54,41.73622705,Vacuum centrifuge then add 25 uL,,
E381,Symphyotrichum novae-angliae,,,E381,Athey 3653,,,,KY,Todd,36.8098474,-87.1728185,County centroid,,,,,MEM,,81.8,120,100.9,,,,,12410.7,4.955401388,Vacuum centrifuge then add 25 uL,,
E382,Symphyotrichum novae-angliae,,,E382,Radford 45443,,,,NC,Ashe,36.420556,-81.473889,SERNEC,,,36.420556,-81.473889,MEM,,14.2,21,17.6,,,,,2164.8,28.40909091,Vacuum centrifuge then add 25 uL,,
E383,Symphyotrichum novi-belgii,,,E383,Leonard 2139,,,,NC,Richmond,34.88472,-79.69444,SERNEC,,,34.88472,-79.69444,MEM,,13.9,19.5,16.7,,,,,2054.1,29.94011976,Vacuum centrifuge then add 25 uL,,
E384,Symphyotrichum oblongifolium,,,E384,Gentry Jr. 804,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,32.9,48.4,40.65,,,,,4999.95,12.300123,Vacuum centrifuge then add 25 uL,,
E385,Symphyotrichum ontarione,,,E385,Gentry Jr. 821,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,19.3,26.9,23.1,,,,,2841.3,21.64502165,Vacuum centrifuge then add 25 uL,,
E386,Symphyotrichum ontarione,,,E386,Athey 2176,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,15.3,23.3,19.3,,,,,2373.9,25.90673575,Vacuum centrifuge then add 25 uL,,
E387,Symphyotrichum patens,,,E387,Athey 4507,,,,KY,Carlisle,36.8432751,-88.9636817,County centroid,,,,,MEM,,38.6,57.2,47.9,,,,,5891.7,10.43841336,Vacuum centrifuge then add 25 uL,,
E388,Symphyotrichum patens,,,E388,Athey 466,,,,KY,Graves,36.7244966,-88.6569094,County centroid,,,,,MEM,,44.9,66.9,55.9,,,,,6875.7,8.944543828,Vacuum centrifuge then add 25 uL,,
E389,Symphyotrichum patens,,,E389,Athey 3649,,,,KY,Todd,36.8098474,-87.1728185,County centroid,,,,,MEM,,6.42,9.89,8.155,,,,,1003.065,61.31207848,Vacuum centrifuge then add 25 uL,,
E390,Symphyotrichum patens,,,E390,Ferrari 461,,,,MS,DeSoto,34.918615,-89.812785,SERNEC,,,34.918615,-89.812785,MEM,,17.8,26.6,22.2,,,,,2730.6,22.52252252,Vacuum centrifuge then add 25 uL,,
E391,Symphyotrichum patens,,,E391,Bozeman 11615,,,,SC,Marlboro,35.089635,-81.80028,SERNEC,,,35.089635,-81.80028,MEM,,45.2,64.3,54.75,,,,,6734.25,9.132420091,Vacuum centrifuge then add 25 uL,,
E392,Symphyotrichum patens var. patentissimum,,,E392,Athey 2143,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,4.8,7.1,5.95,,,,,731.85,84.03361345,Vacuum centrifuge then add 25 uL,,
E393,Symphyotrichum patens,,,E393,Jackson 52,,,,TN,Fayette,35.1739357,-89.4175416,County centroid,,,,,MEM,,30.6,42.6,36.6,,,,,4501.8,13.66120219,Vacuum centrifuge then add 25 uL,,
E394,Symphyotrichum pilosum,,,E394,Ballou Jr. 15,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,53.3,75.8,64.55,,,,,7939.65,7.745933385,Vacuum centrifuge then add 25 uL,,
E395,Symphyotrichum pilosum,,,E395,Demaree 57289,,,,AR,Montgomery,34.5218805,-93.6508234,County centroid,,,,,MEM,,15,21.6,18.3,,,,,2250.9,27.32240437,Vacuum centrifuge then add 25 uL,,
E396,Symphyotrichum pilosum,,,E396,Gentry Jr. 745,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,5.38,8.1,6.74,,,,,829.02,74.18397626,Vacuum centrifuge then add 25 uL,,
E397,Symphyotrichum pilosum,,,E397,Ferrari 105,,,,MS,DeSoto,34.962531,-89.918786,SERNEC,,,34.962531,-89.918786,MEM,,25.6,35.9,30.75,,,,,3782.25,16.2601626,Vacuum centrifuge then add 25 uL,,
E398,Symphyotrichum pilosum,,,E398,Leonard 2095,,,,NC,Davidson,35.7902384,-80.2115053,County centroid,,,,,MEM,,7.86,11.4,9.63,,,,,1184.49,51.92107996,Vacuum centrifuge then add 25 uL,,
E399,Symphyotrichum pilosum,,,E399,Deneke 170,,,,TN,Dyer,36.0543272,-89.4208221,County centroid,,,,,MEM,,43.3,61.8,52.55,,,,,6463.65,9.514747859,Vacuum centrifuge then add 25 uL,,
E400,Symphyotrichum pilosum,,,E400,Keiran 770,,,,TN,Lauderdale,35.7579793,-89.6175055,County centroid,,,,,MEM,,4.38,6.25,5.315,,,,,653.745,94.07337723,Vacuum centrifuge then add 25 uL,,
E401,Symphyotrichum pilosum,,,E401,Bates 2442,,,,TN,McNairy,35.1663375,-88.5766172,County centroid,,,,,MEM,,2.94,4.47,3.705,,,,,455.715,Use whole sample,Vacuum centrifuge then add 25 uL,,
E402,Symphyotrichum pilosum,,,E402,Browne 80I2.3,,,,TN,Obion,36.3556031,-89.1748819,County centroid,,,,,MEM,,28.6,40.8,34.7,,,,,4268.1,14.4092219,Vacuum centrifuge then add 25 uL,,
E403,Symphyotrichum pilosum,,,E403,Browne T-70,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,37.2,53.7,45.45,,,,,5590.35,11.00110011,Vacuum centrifuge then add 25 uL,,
E404,Symphyotrichum pilosum,,,,Warrington 406,,,,TN,Tipton,35.499348,-89.7487432,County centroid,,,,,MEM,,21.5,21.1,21.3,,,,,2619.9,23.4741784,Vacuum centrifuge then add 25 uL,,
E405,Symphyotrichum pilosum,,,,Warrington 528,,,,TN,Tipton,35.499348,-89.7487432,County centroid,,,,,MEM,,7.95,8.17,8.06,,,,,991.38,62.03473945,Vacuum centrifuge then add 25 uL,,
E406,Symphyotrichum praealtum,,,,Ferrari 484,,,,MS,DeSoto,34.894655,-89.745595,SERNEC,,,34.894655,-89.745595,MEM,,18.6,18.4,18.5,,,,,2275.5,27.02702703,Vacuum centrifuge then add 25 uL,,
E407,Symphyotrichum praealtum var. subasperum,,,,Athey 521,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,43.5,42.4,42.95,,,,,5282.85,11.64144354,Vacuum centrifuge then add 25 uL,,
E408,Symphyotrichum prenanthoides,,,,Radford 45432,,,,NC,Watauga,36.245505,-81.710144,SERNEC,,,36.245505,-81.710144,MEM,,empty envelope,empty envelope,,,,,,,,,,
E409,Symphyotrichum prenanthoides,,,,Jackson 53,,,,TN,Shelby,35.1782557,-89.8739775,County centroid,,,,,MEM,,19.1,19.5,19.3,,,,,2373.9,25.90673575,Vacuum centrifuge then add 25 uL,,
E410,Symphyotrichum puniceum,,,,Ahles 76150,,,,MA,Hampshire,42.390707,-72.668902,SERNEC,,,42.390707,-72.668902,MEM,,8.85,9.13,8.99,,,,,1105.77,55.61735261,Vacuum centrifuge then add 25 uL,,
E411,Symphyotrichum puniceum,,,,Athey s.n.,,,,NC,Swain,35.45819,-83.466275,County centroid,,,,,MEM,,6.97,7.02,6.995,,,,,860.385,71.47962831,Vacuum centrifuge then add 25 uL,,
E412,Symphyotrichum puniceum,,,Qubit too low,Krivda 66-184,,"Rall's Island Road, The Pas",Canada,Manitoba,,,,,,,,,MEM,,--,--,#DIV/0!,,,,,#DIV/0!,#DIV/0!,Vacuum centrifuge then add 25 uL,,
E413,Symphyotrichum shortii,,,,Athey 2150,,,,KY,Carlisle,36.8432751,-88.9636817,County centroid,,,,,MEM,,38.3,37.9,38.1,,,,,4686.3,13.12335958,Vacuum centrifuge then add 25 uL,,
E414,Symphyotrichum shortii,,,,Athey 503,,,,KY,Livingston,37.1898627,-88.3343825,County centroid,,,,,MEM,,13.7,13.5,13.6,,,,,1672.8,36.76470588,Vacuum centrifuge then add 25 uL,,
E415,Symphyotrichum shortii,,,,Athey s.n.,,,,MN,Cook,47.9149076,-90.47301,County centroid,,,,,MEM,,12.1,11.3,11.7,,,,,1439.1,42.73504274,Vacuum centrifuge then add 25 uL,,
E416,Symphyotrichum undulatum,,,,Athey s.n.,,,,NC,Swain,35.45819,-83.466275,County centroid,,,,,MEM,,7.35,8,7.675,,,,,944.025,65.1465798,Vacuum centrifuge then add 25 uL,,
E417,Ampelaster carolinianus,,,,Leonard 2172,,,,SC,Charleston,32.78667,-79.795,SERNEC,,,32.78667,-79.795,MEM,,35.9,34.4,35.15,,,,,4323.45,14.22475107,Vacuum centrifuge then add 25 uL,,
E418,Ampelaster carolinianus,,,,Stalter s.n.,,,,SC,Georgetown,33.4392245,-79.3343041,County centroid,,,,,MEM,,42.7,41.4,42.05,,,,,5172.15,11.89060642,Vacuum centrifuge then add 25 uL,,
E419,Symphyotrichum lateriflorum,,,,Athey 2166,,,,KY,Calloway,36.6257937,-88.271076,County centroid,,,,,MEM,,7.16,6.98,7.07,,,,,869.61,70.72135785,Vacuum centrifuge then add 25 uL,,
E420,Symphyotrichum lateriflorum,,,,Gentry Jr. 796,,,,KY,Henry,38.447983,-85.1191168,County centroid,,,,,MEM,,18.7,18.2,18.45,,,,,2269.35,27.100271,Vacuum centrifuge then add 25 uL,,
E421,Symphyotrichum lateriflorum,,,,Athey 2175,,,,KY,McCracken,37.0335839,-88.7107201,County centroid,,,,,MEM,,28.8,28.2,28.5,,,,,3505.5,17.54385965,Vacuum centrifuge then add 25 uL,,
E422,Symphyotrichum lateriflorum,,,,Ferrari 477,,,,MS,DeSoto,34.9077,-89.7531,SERNEC,,,34.9077,-89.7531,MEM,,20.6,19.9,20.25,,,,,3505.5,17.54385965,Vacuum centrifuge then add 25 uL,,
E423,Symphyotrichum lateriflorum,,,,Radford 45433,,,,NC,Watauga,36.246405,-81.711583,SERNEC,,,36.246405,-81.711583,MEM,,1.83,1.76,1.795,,,,,220.785,Use whole sample,Vacuum centrifuge then add 25 uL,,
